iter	Logloss
0	0.6589658538
1	0.6295063656
2	0.6032413372
3	0.5803483646
4	0.5616381082
5	0.5453419979
6	0.5321678079
7	0.5191673989
8	0.5091613864
9	0.500237944
10	0.4932911394
11	0.4865186739
12	0.481248876
13	0.4762916632
14	0.4716797964
15	0.4671344371
16	0.4640211197
17	0.4598305667
18	0.4571831504
19	0.4543252576
20	0.4461479903
21	0.4436198567
22	0.4419757267
23	0.4398271433
24	0.4379649482
25	0.4359711043
26	0.4348626896
27	0.4327097316
28	0.4293002118
29	0.4257213408
30	0.4248320935
31	0.4235568642
32	0.4221941724
33	0.420786172
34	0.419850024
35	0.4175658358
36	0.416181283
37	0.4152995906
38	0.4144399113
39	0.4117793518
40	0.4107915709
41	0.4098468791
42	0.4073576175
43	0.4053827412
44	0.4046285659
45	0.4029908482
46	0.401265316
47	0.4003298728
48	0.3996337202
49	0.3985959179
50	0.3980316241
51	0.3974935708
52	0.3967556761
53	0.3958462695
54	0.395070702
55	0.3944951233
56	0.390937008
57	0.3902272346
58	0.3898212202
59	0.388526057
60	0.3873557609
61	0.3869685128
62	0.3861249964
63	0.3854904688
64	0.38505561
65	0.3845080799
66	0.3840497921
67	0.3835574241
68	0.3831594115
69	0.3827815182
70	0.3819996021
71	0.381659991
72	0.3807571619
73	0.3804352169
74	0.3800799763
75	0.3794102409
76	0.3785643706
77	0.3779058666
78	0.3776220156
79	0.3772186656
80	0.3767716573
81	0.3764434293
82	0.3761061109
83	0.3757677905
84	0.3755567696
85	0.3752923663
86	0.3745361537
87	0.3740718425
88	0.3733155892
89	0.3728815815
90	0.3725786734
91	0.3722857259
92	0.3718218729
93	0.3714668688
94	0.3711084635
95	0.3708694124
96	0.3704899539
97	0.3679546687
98	0.3673937354
99	0.3671421104
100	0.3669161909
101	0.3666799475
102	0.3664557817
103	0.3662383882
104	0.3658888194
105	0.3631053225
106	0.362737701
107	0.362087043
108	0.3617311776
109	0.3614498297
110	0.3611520802
111	0.3609841705
112	0.3607499907
113	0.3605643367
114	0.3602650967
115	0.3599337457
116	0.3597369905
117	0.3595917121
118	0.3593026151
119	0.3589984796
120	0.3588180593
121	0.3585333397
122	0.3583764223
123	0.3580619256
124	0.3577709214
125	0.3575851811
126	0.3573918272
127	0.3571545596
128	0.3568921924
129	0.3567021022
130	0.3564749996
131	0.3562406926
132	0.3558477192
133	0.3556494114
134	0.3553422649
135	0.3549595503
136	0.3547291693
137	0.3545427885
138	0.3543534229
139	0.3541524433
140	0.3539372201
141	0.3535538678
142	0.3532792651
143	0.3530597062
144	0.3529216668
145	0.3526212232
146	0.3523438278
147	0.3521705711
148	0.3518612478
149	0.3515704427
150	0.3511973313
151	0.3508643996
152	0.3506968553
153	0.3504365822
154	0.3502706721
155	0.3500606045
156	0.3498182039
157	0.3493670213
158	0.3488484655
159	0.3486221514
160	0.3485278626
161	0.3483143044
162	0.3480472029
163	0.3478295048
164	0.3477092937
165	0.3472250605
166	0.3470778683
167	0.3469182467
168	0.3467875909
169	0.3466278854
170	0.3464518417
171	0.346254781
172	0.3460423329
173	0.3458225376
174	0.3456614949
175	0.3455152201
176	0.3453399997
177	0.3451545037
178	0.344902616
179	0.3445883122
180	0.3444456611
181	0.3443178879
182	0.3439758999
183	0.3438110906
184	0.3436161044
185	0.3434360456
186	0.3431862949
187	0.3430548453
188	0.3414437387
189	0.341330688
190	0.3412609456
191	0.3411177493
192	0.3408599496
193	0.3405974652
194	0.3404221115
195	0.3402163178
196	0.3400701191
197	0.3399168833
198	0.3396369452
199	0.3394426804
200	0.3392403502
201	0.3390863194
202	0.3389623321
203	0.3388094714
204	0.3385213138
205	0.3383552803
206	0.3381695093
207	0.3380431796
208	0.3379481506
209	0.3377720734
210	0.3376392301
211	0.3375133987
212	0.3372937801
213	0.3369665458
214	0.3366380233
215	0.3365141815
216	0.3357343479
217	0.3355239075
218	0.3353953531
219	0.3352150184
220	0.3350597483
221	0.3348678398
222	0.3346939392
223	0.3343202289
224	0.3340073439
225	0.3337390667
226	0.3335528831
227	0.3334458946
228	0.3333265406
229	0.3332160439
230	0.333040898
231	0.3329274709
232	0.3326951364
233	0.3325826872
234	0.3322821621
235	0.332188404
236	0.3319698627
237	0.3317584241
238	0.331553206
239	0.3314357556
240	0.3313016091
241	0.3309899199
242	0.3308431909
243	0.3307205696
244	0.3305252892
245	0.3303929067
246	0.3302235666
247	0.3300923158
248	0.3299976889
249	0.3298277472
250	0.3297197615
251	0.3294460793
252	0.329172059
253	0.3290464882
254	0.3289751669
255	0.3288324839
256	0.3286088189
257	0.3284684259
258	0.3283286916
259	0.3281729349
260	0.3280787833
261	0.3279937637
262	0.3278017179
263	0.3276370782
264	0.3274676561
265	0.3272660102
266	0.3271941509
267	0.3270651851
268	0.3266010014
269	0.3264827169
270	0.3263987296
271	0.3262105927
272	0.326038487
273	0.3259457525
274	0.3257774297
275	0.3256007784
276	0.325455848
277	0.3253341037
278	0.325098261
279	0.3248875035
280	0.3246912935
281	0.3242023989
282	0.3240797264
283	0.3239815168
284	0.3237934689
285	0.3234964841
286	0.3232954133
287	0.3232322901
288	0.3230971889
289	0.3229920801
290	0.3228555591
291	0.3227232362
292	0.3225974139
293	0.3223622013
294	0.322189352
295	0.3219915721
296	0.321884383
297	0.3217312514
298	0.3215510681
299	0.3214061878
